brand,model_final,class,group,units,reason,resolved_via,sample_raw
XAG,P100,เกษตร,เกษตร-ไม่ใช่ DJI,137,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,P100 (3WWDZ-40AT) ;; P100(3WWDZ-40AT)
BUG AWAY,BA15L,เกษตร,เกษตร-ไม่ใช่ DJI,134,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,BA15L
HUBSAN,ZINO PRO,ทั่วไป,ทั่วไป,131,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZINO PRO
เจ้าเอี้ยง,A616-02A,เกษตร,เกษตร-ไม่ใช่ DJI,125,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,A616-02A
DJI,INSPIRE 2,ทั่วไป,ทั่วไป,124,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,INSPIRE 2 ;; INSPIRE 2/ T650A ;; INSPIRE 2 / T650A
MAKER DRONE,MD620,เกษตร,เกษตร-ไม่ใช่ DJI,124,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MD620
HOVERAIR,X1 PRO MAX,ทั่วไป,ทั่วไป,122,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X1 PRO MAX (MODEL ZZ-H-1-004)
DJI,MATRICE 300 RTK,ทั่วไป,ทั่วไป,117,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MATRICE 300 RTK ;; M300 / MATRICE 300 RTK ;; M300 (MATRICE 300 RTK)
TIGERDRONE,TGD1X-MAX,เกษตร,เกษตร-ไม่ใช่ DJI,113,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TGD1X-MAX
DRONE THAI,DT416,เกษตร,เกษตร-ไม่ใช่ DJI,112,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DT416
