ปี,พิกัด8,ปริมาณ_export,ปริมาณ_import,มูลค่าบาท_export,มูลค่าบาท_import,ชนิด,คำอธิบายทางการ,ส่วนต่างมูลค่า,ส่วนต่างปริมาณ,ratio_ส่งออกต่อนำเข้า,ผ่าน_GATE,อุปสงค์ในประเทศ_บาท
2567,88069400,175.0,4309.0,123490835.0,614961002.0,ไม่ใช่รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,491470167.0,4134.0,0.2008108393839257,True,491470167.0
2567,88062900,84.0,29432.0,7112799.0,532708339.0,รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,525595540.0,29348.0,0.01335214502808825,True,525595540.0
2567,88069900,68.0,4112.0,5941363.0,373002980.0,ไม่ใช่รีโมตอย่างเดียว อื่นๆ,อื่น ๆ,367061617.0,4044.0,0.01592845987450288,True,367061617.0
2567,88062400,4.0,1336.0,708348.0,246745449.0,รีโมตอย่างเดียว 25-150kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 25 กิโลกรัม แต่ไม่มากกว่า 150 กิโลกรัม,246037101.0,1332.0,0.0028707641939122452,True,246037101.0
2567,88062100,275.0,16567.0,7301647.0,213183940.0,รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,205882293.0,16292.0,0.03425045526412543,True,205882293.0
2567,88069200,2512.0,2518.0,37888288.0,45697199.0,ไม่ใช่รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,7808911.0,6.0,0.8291162003167852,True,7808911.0
2567,88069100,0.0,4507.0,0.0,37492128.0,ไม่ใช่รีโมตอย่างเดียว ≤250g,มีน้ำหนักวิ่งขึ้นสูงสุดไม่มากกว่า 250 กรัม,37492128.0,4507.0,0.0,True,37492128.0
2567,88062300,1707.0,4235.0,8551768.0,24012734.0,รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,15460966.0,2528.0,0.3561347075264316,True,15460966.0
2567,88069300,3.0,3.0,1191358.0,1629059.0,ไม่ใช่รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,437701.0,0.0,0.7313166680887555,False,
2567,88061000,0.0,2.0,0.0,15646.0,โดยสาร -,ที่ออกแบบสำหรับการขนส่งผู้โดยสาร,15646.0,2.0,0.0,True,15646.0
2568,88062200,23491.0,25505.0,2920282341.0,2949769101.0,รีโมตอย่างเดียว 250g-7kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 250 กรัม แต่ไม่มากกว่า 7 กิโลกรัม,29486760.0,2014.0,0.9900037057171682,False,
2568,88069300,52934.0,52770.0,1683256705.0,1718925512.0,ไม่ใช่รีโมตอย่างเดียว 7-25kg,มีน้ำหนักวิ่งขึ้นสูงสุดมากกว่า 7 กิโลกรัม แต่ไม่มากกว่า 25 กิโลกรัม,35668807.0,-164.0,0.979249358537649,False,
